Date,Open,High,Low,Close,Adj Close,Volume
2018-09-12,0.029334,0.029328,0.027160,0.028863,0.028863,295168
2018-09-13,0.028918,0.032864,0.028907,0.032430,0.032430,357620
2018-09-14,0.032631,0.033908,0.031698,0.032513,0.032513,342744
2018-09-15,0.032216,0.034607,0.032234,0.034092,0.034092,255302
2018-09-16,0.034051,0.034085,0.032549,0.033847,0.033847,230508
2018-09-17,0.034000,0.034345,0.031049,0.031503,0.031503,321580
2018-09-18,0.031379,0.033478,0.031244,0.032956,0.032956,282618
2018-09-19,0.032877,0.033645,0.032481,0.032815,0.032815,270895
2018-09-20,0.032865,0.034432,0.032398,0.034448,0.034448,273338
2018-09-21,0.034549,0.036788,0.033965,0.036613,0.036613,421117
2018-09-22,0.036724,0.037142,0.035173,0.035775,0.035775,285901
2018-09-23,0.035851,0.036685,0.035495,0.036409,0.036409,252356
2018-09-24,0.036486,0.036533,0.034557,0.034680,0.034680,265145
2018-09-25,0.034619,0.034576,0.032098,0.033895,0.033895,328918
2018-09-26,0.033917,0.033866,0.032521,0.033233,0.033233,270377
2018-09-27,0.033170,0.034357,0.032893,0.034222,0.034222,304088
2018-09-28,0.034304,0.034462,0.033033,0.033473,0.033473,303745
2018-09-29,0.033369,0.035414,0.033138,0.035086,0.035086,334555
2018-09-30,0.035039,0.035712,0.034695,0.035144,0.035144,266477
2018-10-01,0.035200,0.035272,0.034567,0.035020,0.035020,242427
2018-10-02,0.035070,0.035000,0.034505,0.034652,0.034652,235213
2018-10-03,0.034534,0.034645,0.032855,0.033908,0.033908,258963
2018-10-04,0.033901,0.034283,0.033845,0.033789,0.033789,224961
2018-10-05,0.033796,0.034507,0.033631,0.034368,0.034368,233648
2018-10-06,0.034361,0.034465,0.034058,0.034170,0.034170,228446
2018-10-07,0.034217,0.034135,0.033991,0.034245,0.034245,222701
2018-10-08,0.034304,0.034571,0.034109,0.034463,0.034463,221090
2018-10-09,0.034531,0.034597,0.034232,0.034321,0.034321,211532
2018-10-10,0.034266,0.034333,0.034172,0.034283,0.034283,210164
2018-10-11,0.034258,0.034252,0.030169,0.030290,0.030290,346473
2018-10-12,0.030163,0.031562,0.030245,0.031353,0.031353,237131
2018-10-13,0.031295,0.031958,0.031278,0.031792,0.031792,185748
2018-10-14,0.031768,0.031789,0.031050,0.031111,0.031111,185864
2018-10-15,0.031040,0.031966,0.031022,0.031790,0.031790,434444
2018-10-16,0.031778,0.031988,0.031601,0.031855,0.031855,232300
2018-10-17,0.031870,0.032064,0.031540,0.031643,0.031643,220666
2018-10-18,0.031692,0.031742,0.031267,0.031397,0.031397,210888
2018-10-19,0.031383,0.031627,0.031209,0.031510,0.031510,195576
2018-10-20,0.031478,0.031742,0.031471,0.031657,0.031657,190899
2018-10-21,0.031651,0.031871,0.031552,0.031646,0.031646,183622
2018-10-22,0.031651,0.031624,0.031431,0.031454,0.031454,204863
2018-10-23,0.031449,0.031682,0.031212,0.031554,0.031554,191096
2018-10-24,0.031522,0.031530,0.031373,0.031382,0.031382,169681
2018-10-25,0.031384,0.031468,0.031230,0.031302,0.031302,170298
2018-10-26,0.031243,0.031583,0.031216,0.031403,0.031403,179360
2018-10-27,0.031408,0.031788,0.031441,0.031512,0.031512,167399
2018-10-28,0.031558,0.031828,0.031450,0.031661,0.031661,175620
2018-10-29,0.031631,0.031704,0.031031,0.031148,0.031148,239589
2018-10-30,0.031141,0.031242,0.030971,0.031188,0.031188,215258
2018-10-31,0.031203,0.031310,0.031090,0.031243,0.031243,228311
2018-11-01,0.031268,0.031803,0.031250,0.031182,0.031182,209587
2018-11-02,0.031199,0.031580,0.031239,0.031406,0.031406,227265
2018-11-03,0.031422,0.031428,0.031442,0.031470,0.031470,205486
2018-11-04,0.031465,0.033564,0.031304,0.032541,0.032541,274351
2018-11-05,0.032481,0.032693,0.032278,0.032570,0.032570,251339
2018-11-06,0.032630,0.033811,0.032426,0.033811,0.033811,287407
2018-11-07,0.033880,0.033829,0.033254,0.033259,0.033259,295220
2018-11-08,0.033281,0.033401,0.032944,0.032885,0.032885,274118
2018-11-09,0.032847,0.033085,0.032816,0.032898,0.032898,243477
2018-11-10,0.032882,0.033237,0.032857,0.033161,0.033161,214965
2018-11-11,0.033152,0.033170,0.032892,0.032964,0.032964,234213
2018-11-12,0.032991,0.033076,0.032838,0.033026,0.033026,227958
2018-11-13,0.032984,0.032955,0.032474,0.032522,0.032522,253206
2018-11-14,0.032476,0.032541,0.031400,0.031611,0.031611,452278
2018-11-15,0.031699,0.031915,0.031761,0.032012,0.032012,467138
2018-11-16,0.032023,0.032092,0.031452,0.031419,0.031419,361459
2018-11-17,0.031452,0.031710,0.031243,0.031327,0.031327,329977
2018-11-18,0.031358,0.031688,0.031358,0.031487,0.031487,322025
2018-11-19,0.031507,0.031507,0.030450,0.030622,0.030622,563515
2018-11-20,0.030547,0.030546,0.029164,0.029277,0.029277,704065
2018-11-21,0.029458,0.029704,0.028950,0.029704,0.029704,583623
2018-11-22,0.029728,0.029789,0.029021,0.029021,0.029021,410484
2018-11-23,0.028956,0.029066,0.028091,0.028363,0.028363,459618
2018-11-24,0.028365,0.028771,0.028988,0.029245,0.029245,464074
2018-11-25,0.029150,0.028885,0.028387,0.029040,0.029040,615155
2018-11-26,0.029013,0.028899,0.028786,0.028667,0.028667,566133
2018-11-27,0.028555,0.029041,0.027985,0.028793,0.028793,607217
2018-11-28,0.028842,0.028739,0.028842,0.028759,0.028759,627955
2018-11-29,0.028825,0.027924,0.027539,0.027471,0.027471,513246
2018-11-30,0.027514,0.027749,0.028268,0.028171,0.028171,503016
2018-12-01,0.028228,0.028042,0.028092,0.028148,0.028148,505728
2018-12-02,0.028061,0.028046,0.028214,0.028114,0.028114,448370
2018-12-03,0.028112,0.028074,0.027930,0.027972,0.027972,455238
2018-12-04,0.027940,0.027761,0.028022,0.027854,0.027854,441790
2018-12-05,0.027884,0.027896,0.027298,0.027298,0.027298,530144
2018-12-06,0.027291,0.027606,0.024284,0.026060,0.026060,656248
2018-12-07,0.026029,0.027527,0.024696,0.027280,0.027280,746886
2018-12-08,0.027313,0.027859,0.025913,0.026512,0.026512,533860
2018-12-09,0.026477,0.026836,0.026139,0.026324,0.026324,518939
2018-12-10,0.026283,0.026402,0.026084,0.026176,0.026176,501459
2018-12-11,0.026146,0.026410,0.025835,0.025973,0.025973,498599
2018-12-12,0.025875,0.026099,0.025852,0.025981,0.025981,439654
2018-12-13,0.025998,0.026492,0.025929,0.026116,0.026116,529465
2018-12-14,0.026143,0.026210,0.025955,0.026001,0.026001,509329
2018-12-15,0.025992,0.026145,0.025955,0.026088,0.026088,462245
2018-12-16,0.026097,0.026516,0.026097,0.026212,0.026212,481369
2018-12-17,0.026248,0.027037,0.026248,0.026830,0.026830,592649
2018-12-18,0.026822,0.027540,0.025281,0.027357,0.027357,616201
2018-12-19,0.027511,0.027485,0.027284,0.027034,0.027034,655770
2018-12-20,0.026987,0.027956,0.026989,0.028109,0.028109,741054
2018-12-21,0.028017,0.028465,0.027914,0.028101,0.028101,675609
